DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"Grant","Washington","US",97733,16547,0,0.00,205,42.47,277,8.58,322,61.67,527,4.95,538,60.23,549,8.46,599,83.98,658,36.98
Confirmed,"Grays Harbor","Washington","US",75061,8956,0,0.00,235,11.22,257,5.93,337,47.53,434,3.90,478,23.63,524,2.75,614,66.49,658,23.85
Confirmed,"Island","Washington","US",85141,4165,0,0.00,65,9.65,122,0.14,351,12.11,526,1.48,577,27.86,591,15.75,614,26.48,658,17.12
Confirmed,"Jefferson","Washington","US",32221,1144,0,0.00,63,1.27,94,-0.02,300,3.74,332,1.26,350,3.52,413,0.03,595,12.26,658,3.29
Confirmed,"King","Washington","US",2252781,168039,0,0.00,62,194.57,122,42.70,320,776.35,407,152.91,462,403.20,526,62.27,569,624.46,658,351.57
Confirmed,"Kitsap","Washington","US",271473,17408,0,0.00,184,19.23,240,5.88,352,54.82,405,13.84,452,43.11,528,8.60,596,116.75,658,45.46
Confirmed,"Kittitas","Washington","US",47935,5086,0,0.00,175,12.72,218,0.21,314,33.45,386,4.03,472,16.17,526,3.41,616,23.85,658,10.35
Confirmed,"Klickitat","Washington","US",22425,2143,0,0.00,207,5.23,242,0.26,346,7.34,427,0.25,489,4.35,539,0.80,622,16.23,658,9.95
Confirmed,"Lewis","Washington","US",80707,10396,0,0.00,251,11.08,266,5.46,319,43.49,425,5.77,490,22.33,527,5.02,596,74.10,658,30.08
Confirmed,"Lincoln","Washington","US",10938,1435,0,0.00,300,4.82,421,0.38,436,5.06,446,1.23,486,5.68,527,0.36,599,13.21,658,4.97
Confirmed,"Mason","Washington","US",66768,6110,0,0.00,197,7.99,234,2.11,316,33.20,336,13.01,349,32.83,526,1.91,628,39.40,658,18.79
Confirmed,"Okanogan","Washington","US",42243,5415,0,0.00,179,33.02,254,1.97,322,16.08,438,3.87,476,7.65,534,1.87,588,38.92,658,19.27
Confirmed,"Pacific","Washington","US",22471,1844,0,0.00,326,22.86,389,1.09,408,4.56,426,0.72,451,5.51,532,0.41,600,12.68,658,3.47
Confirmed,"Pend Oreille","Washington","US",13723,1597,0,0.00,260,4.43,277,1.29,316,8.27,446,0.98,473,2.96,517,0.35,597,11.26,658,5.77
Confirmed,"Pierce","Washington","US",904980,95358,0,0.00,184,101.10,232,34.70,322,353.97,412,118.00,457,251.63,526,33.24,595,436.79,658,289.17
Confirmed,"San Juan","Washington","US",17582,360,0,0.00,75,0.81,255,0.00,296,1.49,332,-0.07,442,2.12,519,-0.07,631,2.84,658,2.73
Confirmed,"Skagit","Washington","US",129205,12036,0,0.00,65,10.37,122,0.42,321,41.83,421,7.03,461,27.34,528,2.96,658,75.23,658,75.23
Confirmed,"Skamania","Washington","US",12083,819,0,0.00,171,2.09,215,0.00,321,3.72,414,0.02,467,3.84,530,0.08,616,5.61,658,3.03
Confirmed,"Snohomish","Washington","US",822082,67992,0,0.00,63,95.94,131,11.08,321,296.13,414,46.15,453,137.29,528,36.98,580,314.16,658,219.20
Confirmed,"Spokane","Washington","US",522798,74635,0,0.00,320,367.91,333,188.73,351,335.17,410,57.32,490,159.65,528,26.10,596,346.02,658,200.85
Confirmed,"Stevens","Washington","US",45723,5182,0,0.00,189,3.53,218,0.59,316,22.53,423,3.96,458,10.46,530,1.36,598,43.84,658,13.01
Confirmed,"Thurston","Washington","US",290536,21575,0,0.00,186,13.90,236,5.44,351,65.15,419,17.05,490,58.31,527,16.61,614,110.73,658,77.81
Confirmed,"Unassigned","Washington","US",-1,1524,0,0.00,73,59.08,84,-54.06,320,75.16,366,-4.35,500,36.27,506,-41.43,558,13.86,658,3.21
Confirmed,"Wahkiakum","Washington","US",4488,294,0,0.00,309,1.94,330,0.14,399,1.51,424,0.00,505,1.77,528,0.05,616,1.81,658,0.69
Confirmed,"Walla Walla","Washington","US",60760,9006,0,0.00,194,14.08,259,3.36,333,56.64,345,27.71,354,44.61,419,1.18,601,43.00,658,14.40
Confirmed,"Whatcom","Washington","US",229247,17242,0,0.00,71,13.46,91,1.65,354,88.17,423,21.09,471,40.16,527,7.29,585,89.69,658,70.98
Confirmed,"Whitman","Washington","US",50103,5885,0,0.00,223,46.44,283,9.42,302,27.33,389,2.03,422,26.35,526,1.28,601,22.84,658,8.72
Confirmed,"Yakima","Washington","US",250873,44306,0,0.00,134,142.43,162,87.16,174,125.46,257,16.70,349,211.40,525,15.33,588,202.11,658,72.48
Confirmed,"Walla Walla County","Washington","US",-1,1,0,0.00,60,0.20,658,0.00
Confirmed,"Garfield County","Washington","US",-1,1,0,0.00,60,0.20,658,0.00
