Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08
All,Luxembourg,1,2,3,4,0,0,0,1,3,7,9,11,11,11,9,8,6,4,3,3,4,7,10,16,41,124,244,282,249,228,240,310,393,375,276,183,138,121,123,157,224,277,249,239,303,351,356,385,440,490,518,534,531,483,407,324,242,181,138,104,100,187,345,429,394,312,251,217,208,229,258,279,296,316,337,332,255,0,0,0,0
All,United Arab Emirates,23,70,177,307,288,139,57,53,57,62,42,0,0,0,0,2,7,18,28,22,17,20,28,32,23,21,26,0,12,20,33,33,27,25,36,59,76,79,79,92,120,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,Finland,14,33,41,34,28,22,11,3,0,0,0,0,0,0,0,3,6,7,7,10,17,38,75,110,109,77,54,0,20,22,46,68,69,61,55,65,104,181,301,420,546,689,773,790,811,849,844,738,583,468,390,337,298,280,286,289,272,233,186,180,267,383,435,513,655,786,818,715,581,491,422,360,325,294,252,185,0,0,0,0,0
All,New Zealand,1,2,0,1,0,0,0,1,2,2,1,1,1,1,0,11,25,33,31,23,14,9,8,7,8,12,19,19,14,11,11,13,12,10,10,11,13,12,11,10,9,8,8,10,12,13,14,13,13,15,15,11,9,7,5,4,3,4,5,7,7,7,8,12,19,19,16,24,71,179,260,227,156,121,129,177,245,300,277,164,0
All,Czech Republic,0,1,3,3,4,3,2,3,0,0,1,3,6,10,12,13,9,6,5,5,7,11,16,27,33,32,31,29,22,14,9,6,5,6,8,20,60,97,84,79,141,246,301,286,263,256,260,244,215,221,253,283,314,319,289,246,189,158,167,162,139,153,208,260,270,251,262,306,325,321,359,466,582,616,576,536,485,419,325,184,0
All,South Korea,3,13,27,36,49,67,68,60,61,70,73,65,58,52,44,52,75,85,69,46,32,29,31,30,30,35,43,44,49,67,82,82,80,85,95,96,85,73,72,84,95,101,110,119,126,137,141,139,152,179,203,224,241,210,149,107,107,153,204,223,254,313,358,417,488,522,501,448,439,498,592,677,652,525,398,290,194,118,0,0,0
All,Malaysia,0,2,3,5,6,5,3,0,0,0,0,0,1,1,0,3,4,0,6,9,0,0,4,9,12,15,22,30,33,28,22,19,15,19,24,24,33,55,73,73,61,50,48,46,36,24,20,26,41,63,84,89,75,64,59,46,35,28,24,29,41,54,58,59,79,120,170,223,266,285,298,314,310,272,223,168,108,49,14,0,0
All,Japan,77,148,135,84,62,63,69,82,106,158,240,347,506,753,1010,1075,927,767,634,477,348,280,254,256,275,306,339,392,523,716,873,960,1048,1107,1120,1215,1504,1855,1895,1648,1336,1025,778,653,650,766,980,1294,1733,2196,2606,3231,4160,4800,4709,4233,3471,2690,2236,2099,2098,2229,2603,3291,4318,5787,7244,8566,10062,10622,9455,7082,4547,2762,1623,804,283,66,0,0,0
All,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,5,7,12,24,36,32,27,28,23,19,21,30,42,36,22,17,16,14,15,28,48,61,67,109,209,298,306,240,167,158,176,157,129,150,202,211,172,138,131,128,133,152,179,219,285,341,348,281,164,0,0
All,Peru,4,13,21,23,22,13,10,24,39,31,18,10,6,6,10,19,31,43,44,33,22,17,12,12,29,48,34,11,4,8,15,21,37,54,52,49,51,49,52,50,47,56,61,58,68,96,111,102,105,158,216,205,169,161,161,166,171,212,305,339,286,223,215,260,283,258,250,297,327,313,304,312,346,382,388,355,268,0,0,0,0
