Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01
All,Luxembourg,4,2,7,5,0,0,1,3,7,13,8,16,9,11,8,9,1,3,4,3,6,12,12,22,32,362,323,212,226,218,229,540,385,291,119,148,114,96,160,162,431,195,159,333,421,289,394,431,517,525,518,589,484,407,337,216,176,135,105,56,74,451,493,429,270,251,208,180,233,266,283,294,306,359,346,364,23,0,0,0
All,United Arab Emirates,73,60,467,424,6,12,104,2,122,29,4,0,0,0,1,5,8,57,10,14,23,16,63,6,12,44,21,0,9,58,28,29,19,21,69,86,80,78,65,137,187,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,Finland,46,56,25,26,34,3,2,2,0,0,0,0,0,0,1,9,9,5,8,15,21,75,128,155,40,58,51,0,8,46,94,62,71,43,45,103,124,326,439,472,768,822,765,795,858,932,782,507,478,361,338,294,247,301,300,283,245,174,120,185,548,344,477,665,818,959,696,538,486,443,313,339,307,236,260,28,0,0,0,0
All,New Zealand,5,3,0,1,0,0,0,5,2,1,2,1,1,1,0,37,34,40,21,12,7,9,8,6,6,30,20,13,7,13,14,14,8,12,7,21,11,9,13,9,8,7,12,10,16,15,13,11,18,20,6,10,9,5,2,6,2,5,9,7,9,7,5,31,18,13,18,10,163,410,205,130,108,94,182,227,350,366,138,0
All,Czech Republic,2,4,3,6,3,1,4,5,0,0,4,5,13,11,19,7,6,5,6,3,18,5,32,44,23,37,30,26,10,9,5,4,8,8,7,19,201,37,60,71,308,366,254,270,231,282,274,169,204,282,256,334,364,253,299,157,117,188,200,93,125,216,285,306,220,220,346,339,283,287,458,634,705,471,467,349,325,378,39,1
All,South Korea,4,44,29,35,92,73,46,62,67,92,57,53,68,30,32,91,108,68,40,24,29,34,31,26,30,54,46,31,71,100,75,85,69,109,105,82,72,58,88,104,93,111,131,107,151,151,120,150,174,228,180,311,219,133,90,72,138,259,214,189,386,317,398,533,529,564,394,359,411,485,701,525,320,396,116,0,0,0,0,0
All,Malaysia,2,5,2,12,5,3,3,0,0,0,1,1,1,5,0,9,1,0,22,1,0,0,16,9,14,20,34,41,28,16,28,6,14,40,11,24,55,93,77,60,43,47,58,36,18,16,21,39,62,90,113,65,49,88,24,45,22,21,26,37,63,59,42,58,128,162,225,294,280,285,313,346,239,218,128,110,17,0,1,0
All,Japan,295,111,70,38,83,46,96,80,139,242,312,457,667,1155,1283,819,730,698,434,306,272,233,255,267,299,367,311,492,717,993,880,1069,1208,1015,1174,1236,2276,2014,1613,1377,983,693,614,571,723,952,1208,1645,2425,2410,2952,4132,5793,4327,4762,3349,2507,1963,2188,1945,2226,2239,3417,3761,5762,7989,7426,11004,11763,9960,7437,3603,2627,1467,703,35,31,2,0,0
All,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,1,1,2,5,4,3,5,1,4,5,7,11,8,68,24,13,49,13,19,23,10,74,34,12,17,21,12,10,19,54,74,60,39,223,366,336,277,79,150,224,165,90,105,261,239,170,94,163,105,137,135,201,164,319,344,320,100,9,1,0
All,Peru,9,40,5,45,4,1,8,84,10,25,5,5,4,8,16,33,45,60,31,13,24,9,6,2,106,21,1,2,1,31,5,28,88,42,37,72,29,64,59,24,67,72,47,49,106,138,100,62,128,307,215,114,193,137,175,190,90,408,387,287,192,157,292,327,259,164,335,387,258,338,265,357,399,410,372,330,95,0,0,0
All,Singapore,46,66,34,38,16,45,24,24,44,30,39,34,17,5,2,16,18,10,17,7,2,9,9,18,9,15,13,10,16,10,13,11,14,22,23,38,37,31,36,33,42,26,16,13,18,14,31,57,107,87,101,85,106,63,157,180,150,126,52,95,122,16,59,342,494,447,417,304,339,528,479,352,348,293,318,302,269,260,270,0
All,Portugal,17,9,9,19,54,38,24,13,22,31,27,0,0,0,0,0,4,32,3,0,0,0,0,0,0,1,0,27,339,33,20,12,8,36,211,83,238,669,68,124,77,857,44,55,680,412,31,20,50,1160,426,54,44,761,298,56,52,547,696,405,757,546,586,761,489,464,491,508,492,532,566,540,549,548,492,474,412,298,0,0
All,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,6,1,0,11,1,0,0,0,0,29,0,0,0,0,1,3,5,11,23,22,23,136,199,195,346,236,335,291,383,366,241,134,419,367,360,279,218,152,188,123,77,85,188,179,183,213,280,231,391,375,506,420,181,59,2,0,0,0,0,0,0
All,Philippines,0,0,0,0,1,0,1,4,7,2,4,0,0,0,0,0,0,0,1,1,1,2,1,0,2,1,26,115,78,100,82,151,116,182,171,67,340,221,309,337,219,214,237,111,192,393,387,464,552,232,154,172,222,195,148,126,192,333,232,288,532,355,531,572,542,758,642,543,576,201,61,0,0,0,0,0,0,0,0,0
All,Romania,30,3,14,4,7,11,12,5,1,9,2,21,44,37,9,6,23,55,19,28,30,32,13,3,4,21,2,2,1,7,36,8,17,4,2,5,12,13,7,23,42,49,84,124,75,141,64,100,159,89,47,88,35,117,50,70,82,61,58,49,23,32,26,29,67,109,150,146,127,228,347,497,531,471,360,428,183,103,1,0
All,Poland,12,47,10,16,2,21,3,1,0,0,0,0,0,0,0,0,0,3,4,2,2,4,2,0,0,1,1,5,2,14,24,3,21,32,114,6,57,126,133,204,175,260,469,708,777,1242,904,793,1010,1069,1703,1376,1258,1324,1243,970,656,339,282,107,43,122,64,107,136,169,164,149,601,393,542,607,742,735,845,1041,744,589,125,0
All,Nigeria,16,10,18,13,9,7,19,8,14,14,21,27,4,1,7,4,4,1,4,1,0,0,0,5,7,0,0,1,3,1,10,21,9,20,20,50,131,87,39,111,95,111,53,48,40,24,17,8,7,3,2,13,5,3,4,3,3,0,1,11,3,18,20,35,59,301,175,323,210,239,210,151,60,42,25,6,2,0,0,0
All,Slovakia,2,1,1,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,4,6,0,0,1,0,1,1,0,10,5,11,44,1,0,85,11,86,10,20,20,97,52,52,57,380,242,341,311,349,371,245,185,152,164,174,393,298,291,303,134,115,78,164,117,154,211,161,317,301,380,401,554,619,319,481,502,184,31,0,0
All,Israel,3,4,1,2,1,17,2,5,6,10,0,6,42,6,4,3,1,0,3,0,1,0,0,0,1,0,0,0,1,0,0,9,31,23,343,1061,695,658,505,1091,1239,410,475,1161,843,338,587,147,683,186,294,185,171,151,51,129,21,50,64,151,695,1355,272,125,387,605,1042,962,498,450,363,556,446,292,316,258,384,0,0,0
All,Bulgaria,2,1,3,0,0,0,0,0,0,0,1,0,0,1,4,2,2,1,2,3,2,2,2,0,1,1,3,2,1,4,1,6,25,25,15,24,56,36,56,83,137,123,128,147,260,279,351,309,248,207,164,138,115,78,40,18,20,52,51,44,81,95,81,78,161,214,280,330,468,467,396,335,217,23,0,0,0,0,0,0
All,Kenya,19,51,90,23,11,24,38,13,37,51,24,40,20,14,31,23,22,32,28,25,13,4,32,22,22,85,45,83,112,49,46,19,37,19,8,5,22,10,24,41,27,28,34,55,65,97,155,88,76,51,74,44,79,67,44,98,90,73,48,62,64,116,126,88,59,116,54,51,36,50,100,31,43,10,7,5,7,0,0,0
All,Mexico,116,86,107,141,108,151,76,66,76,100,49,52,63,90,73,70,96,62,49,65,25,37,37,44,54,36,44,45,74,96,124,109,138,172,209,68,128,136,231,150,202,589,532,448,875,533,563,514,441,623,637,606,779,913,656,959,733,1181,997,818,1062,1185,917,925,1471,1154,1339,978,1199,816,1089,1033,963,1135,953,595,357,130,0,0
All,India,250,221,280,369,357,259,356,409,120,156,135,182,112,267,186,232,60,155,168,222,208,145,194,166,125,185,142,173,86,84,432,433,409,633,604,254,294,300,334,266,559,590,889,970,1187,1630,1741,2011,2326,3287,3116,3137,3824,2551,2632,2687,1786,2200,1614,1584,1605,1407,1546,1316,1336,906,1444,896,871,1012,904,711,650,621,261,46,1,0,0,0
All,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,5,8,58,0,15,10,7,7,6,0,0,0,30,0,23,54,36,32,0,308,38,25,17,44,27,0,1,1,0
