DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"","Nevada","US",3136070,451773,0,0.00,178,1113.42,234,293.33,321,2655.52,340,1888.92,351,2355.22,492,197.09,599,1172.62,668,571.38
Confirmed,"","New Hampshire","US",1421011,150193,0,0.00,102,90.66,211,18.44,321,820.71,408,219.12,443,429.08,523,20.08,665,895.52,668,827.08
Confirmed,"","New Jersey","US",9145856,1228076,0,0.00,75,3506.17,212,324.68,356,5977.16,395,3026.66,431,4429.39,527,204.71,603,2236.04,668,2055.62
Confirmed,"","New Mexico","US",2775946,300900,0,0.00,185,307.62,230,97.44,304,2363.32,526,60.13,584,820.93,607,615.35,664,1435.52,668,1332.80
Confirmed,"","New York","US",19759055,2656274,0,0.00,76,9452.67,213,608.23,353,15938.44,518,328.10,604,5211.70,642,3721.98,668,6513.02,668,6513.02
Confirmed,"","North Carolina","US",10657569,1513484,0,0.00,175,1962.48,205,1246.01,219,1601.53,233,1188.52,352,8250.22,524,298.39,599,7019.07,668,1768.77
Confirmed,"","North Dakota","US",764268,157795,0,0.00,118,68.26,151,29.09,296,1350.94,383,59.39,441,154.14,527,11.66,618,613.39,668,525.44
Confirmed,"","Ohio","US",11716779,1632798,0,0.00,88,787.09,139,396.31,322,11496.72,528,237.86,601,6976.77,644,3429.02,668,5796.74,668,5796.74
Confirmed,"","Oklahoma","US",3979144,658044,0,0.00,187,1005.54,207,670.02,331,3292.38,339,2786.40,353,4032.07,494,114.20,584,2661.22,668,754.47
Confirmed,"","Oregon","US",4233859,383420,0,0.00,188,338.53,232,187.57,316,1476.43,408,277.36,460,810.81,527,153.42,584,2225.31,668,807.14
Confirmed,"","Pennsylvania","US",12904988,1673843,0,0.00,78,1577.75,146,428.39,324,10201.65,410,2495.07,448,4800.07,526,177.50,668,6192.67,668,6192.67
Confirmed,"","Puerto Rico","US",3211040,187566,0,0.00,179,1490.63,292,-3164.50,332,842.09,406,168.43,450,1055.04,520,36.56,577,899.58,668,145.69
Confirmed,"","Rhode Island","US",1107839,186038,0,0.00,91,364.11,159,43.14,319,1245.04,337,723.31,350,1206.97,529,15.88,666,437.54,668,423.19
Confirmed,"","South Carolina","US",5173230,911139,0,0.00,175,1870.72,210,793.33,245,1062.63,254,827.36,359,4769.52,513,88.61,588,5364.99,668,626.39
Confirmed,"","South Dakota","US",887392,162079,0,0.00,108,116.32,152,55.16,295,1379.73,511,8.62,599,466.73,627,304.38,665,424.91,668,397.96
Confirmed,"","Tennessee","US",6906139,1302942,0,0.00,186,2313.07,231,1291.72,329,8832.89,435,1038.88,452,1420.21,521,84.24,596,8122.08,668,1250.37
Confirmed,"","Texas","US",29054096,4303261,0,0.00,176,10067.06,230,3658.02,243,6278.83,262,4378.03,355,22216.78,494,1334.17,596,18082.88,668,3433.34
Confirmed,"","Utah","US",3392773,582199,0,0.00,301,3242.62,338,2136.93,351,3091.05,494,216.68,598,1637.83,626,1311.47,664,1668.02,668,1494.90
Confirmed,"","Vermont","US",660766,46456,0,0.00,74,38.11,191,4.18,353,165.65,399,103.67,434,178.59,526,3.93,668,385.82,668,385.82
Confirmed,"","Virginia","US",8567816,952286,0,0.00,126,1059.43,147,515.45,197,1100.01,250,789.37,360,5761.15,511,138.22,601,3603.39,668,1447.49
Confirmed,"","Washington","US",7634872,761054,0,0.00,177,857.44,231,405.66,321,3115.19,412,691.80,456,1412.89,527,330.04,598,3409.40,668,1527.38
Confirmed,"","West Virginia","US",1810312,287405,0,0.00,348,1465.12,408,248.22,431,408.41,528,43.20,601,1865.98,658,754.37,668,955.52,668,955.52
Confirmed,"","Wisconsin","US",5842639,943103,0,0.00,297,6826.25,340,2376.28,351,3194.95,521,83.08,608,3106.46,639,2053.79,665,3494.27,668,3315.55
Confirmed,"","Wyoming","US",617629,109146,0,0.00,301,803.02,339,229.28,355,331.12,450,57.01,483,79.58,512,57.38,608,529.46,668,248.09
