DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"","","Liechtenstein",38137,4086,0,0.00,287,31.32,318,17.35,335,37.95,391,1.46,450,10.03,512,0.52,668,42.58,668,42.58
Confirmed,"","","Lithuania",2722291,452292,0,0.00,70,45.82,157,2.46,333,2880.96,412,453.95,465,1179.67,526,32.14,644,2876.36,668,1920.66
Confirmed,"","","Luxembourg",625976,85759,0,0.00,64,155.44,219,-120.56,285,654.60,362,118.95,431,227.35,515,12.83,666,242.01,668,237.71
Confirmed,"","","Moldova",4033963,357118,0,0.00,148,344.97,167,219.74,320,1446.31,362,466.55,426,1587.36,501,45.32,637,1604.99,668,776.56
Confirmed,"","","Monaco",39244,3541,0,0.00,289,15.08,310,3.93,378,23.27,492,0.55,553,15.32,608,1.84,668,11.44,668,11.44
Confirmed,"","","Montenegro",628062,154101,0,0.00,295,595.93,333,364.27,411,562.55,517,16.61,582,615.21,629,359.13,653,593.59,668,395.33
Confirmed,"","","Norway",5421242,239359,0,0.00,65,254.61,174,7.44,422,931.34,538,167.97,589,1418.15,628,414.90,668,2087.70,668,2087.70
Confirmed,"","","Poland",37846605,3301904,0,0.00,292,24416.76,340,8083.13,351,9020.14,378,5282.79,431,27648.48,534,80.15,668,21081.90,668,21081.90
Confirmed,"","","Portugal",10196707,1117332,0,0.00,299,6101.13,337,3314.71,368,12331.81,471,340.91,544,3241.48,621,593.33,668,2134.50,668,2134.50
Confirmed,"","","Romania",19237681,1758058,0,0.00,81,352.80,130,163.17,299,8378.57,381,2388.62,429,5609.07,531,43.11,636,14787.15,668,3148.66
Confirmed,"","","San Marino",33938,5741,0,0.00,86,13.22,189,0.00,348,28.36,364,14.60,429,38.12,502,0.01,667,18.37,668,18.26
Confirmed,"","","Serbia",8737370,1228068,0,0.00,83,331.88,129,40.91,315,7218.66,365,1608.94,421,4907.74,522,79.42,616,6951.61,668,3217.50
Confirmed,"","","Slovakia",5459643,1053118,0,0.00,284,2811.35,300,1733.56,346,6322.74,361,4465.16,399,5569.75,531,38.12,668,10243.28,668,10243.28
Confirmed,"","","Slovenia",2078932,394897,0,0.00,280,1746.75,291,1381.26,351,1842.96,413,716.07,434,1015.47,525,28.93,668,3446.62,668,3446.62
Confirmed,"","","Switzerland",8654618,937430,0,0.00,63,1038.78,133,16.02,286,7984.06,521,116.57,595,2963.88,628,909.48,666,4474.18,668,4406.29
Confirmed,"","","Turkey",84339066,8529079,0,0.00,82,4363.22,182,925.90,323,119581.79,367,6330.18,450,58689.51,529,5049.26,628,30142.67,668,23468.65
Confirmed,"","","Italy",61672585,4904195,0,0.01,62,5421.36,162,193.57,296,34607.97,377,11934.65,422,22535.71,522,722.64,668,9758.62,668,9758.62
Confirmed,"","","Russia",147098080,9095454,0,0.01,108,10674.18,216,4752.11,336,28136.58,471,8148.08,538,24395.14,594,17954.92,652,38954.63,668,36169.26
Confirmed,"","","Sweden",10487191,1187256,0,0.01,154,1175.83,219,-207.84,350,6619.71,382,2882.85,446,6100.89,535,232.62,596,1075.65,668,926.36
Confirmed,"","","Germany",94088745,5318586,0,0.03,68,5505.81,170,343.96,330,24419.95,389,7326.21,449,20448.64,524,579.02,668,51837.13,668,51837.13
Confirmed,"","","Spain",55364462,5075963,0,0.00,68,7485.43,100,-654.71,284,20373.95,320,6934.67,367,35669.95,405,-2888.14,546,25630.41,668,4648.27
Confirmed,"","","Belgium",24879006,1567148,0,0.00,79,1378.38,149,87.00,279,16361.28,344,1648.82,429,4798.23,514,482.38,666,13696.04,668,13575.68
Confirmed,"","","Netherlands",17854316,2439545,0,0.00,333,11171.26,385,3516.13,455,8132.19,520,652.68,540,9445.92,614,1744.71,668,20632.48,668,20632.48
Confirmed,"","","Ukraine",47107395,3460644,0,0.00,103,471.54,124,382.53,310,13990.83,381,3925.37,440,15499.94,523,943.33,648,22935.53,668,19631.93
Confirmed,"","","United Kingdom",66991016,9827586,0,0.00,81,5284.57,156,283.81,350,57480.91,481,1760.38,542,44303.32,557,26475.51,637,45620.67,668,41641.17
