20A.EU1,20A.EU2,20A.S.126A,20A.S.210T,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21C.Epsilon,21D.Eta,21F.Iota,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.250I,Delta.299I
0.0,0.0,0.06389776357827476,0.43769968051118213,0.0,0.0,0.0,0.12779552715654952,0.003194888178913738,0.0,0.019169329073482427,0.0,0.0,0.0,0.0,0.0,0.18849840255591055,0.134185303514377,0.0,0.0,0.0
0.0,0.0,0.04189944134078212,0.3715083798882682,0.0,0.0,0.002793296089385475,0.1005586592178771,0.002793296089385475,0.0,0.027932960893854747,0.0,0.0,0.0,0.0,0.0,0.2905027932960894,0.13687150837988826,0.0,0.0,0.0
0.0,0.0,0.03117505995203837,0.31414868105515587,0.0,0.0,0.002398081534772182,0.06954436450839328,0.002398081534772182,0.0,0.026378896882494004,0.0,0.0,0.0,0.0,0.0,0.41007194244604317,0.11990407673860912,0.0,0.0,0.0
0.0,0.0,0.03278688524590164,0.26024590163934425,0.0,0.0,0.0,0.04918032786885246,0.0020491803278688526,0.0,0.018442622950819672,0.0,0.0,0.0,0.0,0.0,0.48770491803278687,0.1290983606557377,0.0,0.0,0.0
0.0,0.0,0.032567049808429116,0.19923371647509577,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.019157088122605363,0.0,0.0,0.0,0.0,0.0,0.5459770114942529,0.15134099616858238,0.0,0.0,0.0
0.0,0.0,0.026,0.132,0.0,0.0,0.0,0.024,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.636,0.134,0.0,0.0,0.0
0.0,0.0,0.016091954022988506,0.06436781609195402,0.0,0.0,0.0,0.013793103448275862,0.0,0.0,0.03218390804597701,0.0,0.0,0.0,0.0,0.0,0.7310344827586207,0.11954022988505747,0.0,0.0,0.0
0.0,0.0,0.005,0.0175,0.0,0.0,0.0,0.005,0.0,0.0,0.0275,0.0,0.0,0.0,0.0,0.0,0.78,0.135,0.0,0.0025,0.0025
0.0,0.0,0.0023148148148148147,0.004629629629629629,0.0,0.0,0.0,0.0023148148148148147,0.0,0.0,0.02546296296296296,0.0,0.0,0.0,0.0,0.0,0.8101851851851852,0.13657407407407407,0.0,0.004629629629629629,0.004629629629629629
0.0,0.0,0.0,0.001949317738791423,0.0,0.0,0.0,0.001949317738791423,0.0,0.0,0.029239766081871343,0.0,0.0,0.0,0.0,0.0,0.8401559454191033,0.11500974658869395,0.0,0.009746588693957114,0.009746588693957114
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030035335689045935,0.0,0.0,0.0,0.0,0.0,0.8515901060070671,0.11130742049469965,0.0,0.012367491166077738,0.012367491166077738
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02766798418972332,0.0,0.0,0.0,0.0,0.0,0.841897233201581,0.12450592885375494,0.0,0.009881422924901186,0.009881422924901186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.8106060606060606,0.16414141414141414,0.0,0.005050505050505051,0.005050505050505051
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013605442176870748,0.0,0.0,0.0,0.0,0.0,0.7789115646258503,0.20408163265306123,0.0,0.003401360544217687,0.003401360544217687
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
