20A.EU1,20A.EU2,20A.S.126A,20A.S.210T,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21C.Epsilon,21D.Eta,21F.Iota,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I,Delta.N.412R
0.0013320752622523174,0.00033301881556307934,0.0,0.0,0.017983016040406283,5.5503135927179885e-05,0.000499528223344619,0.02486540489537659,0.00016650940778153967,0.0,0.0,0.0,0.20147638341566299,0.0007770439029805184,0.01026808014652828,5.5503135927179885e-05,0.0,5.5503135927179885e-05,0.00022201254370871954,0.0016095909418882167,0.0,0.0,0.0,0.0
0.0014238523749857614,0.00022781637999772184,0.0,0.0,0.02118692333978813,0.00011390818999886092,0.0009112655199908873,0.04009568287959904,0.00017086228499829138,0.0,0.0,0.0,0.21995671488780044,0.0009682196149903178,0.017769677639822304,0.00011390818999886092,0.0,0.0,0.00011390818999886092,0.0017086228499829138,0.0,0.0,0.0,0.0
0.0012493611221534443,0.00017036742574819694,0.0,0.0,0.02481685501732069,0.00017036742574819694,0.0013629394059855755,0.0613322732693509,0.0002839457095803282,0.0,0.0,0.0,0.23005281390198193,0.0010789936964052474,0.026066216139474133,0.00017036742574819694,0.0,0.0,5.678914191606565e-05,0.0015900959736498382,0.0,0.0,0.0,0.0
0.0008464533604198408,0.00022572089611195756,0.0,0.0,0.028384402686078662,0.00016929067208396818,0.002031488065007618,0.08904689351616726,0.0005643022402798939,0.0,0.0,0.0,0.2213193386377744,0.001015744032503809,0.0329552508323458,0.00028215112013994694,0.0,0.0,5.643022402798939e-05,0.001297895152643756,0.0,0.0,0.0,0.0
0.0006234413965087282,0.00017002947177510768,0.0,0.0,0.03287236454318749,0.0002833824529585128,0.003003854001360236,0.13103604624801632,0.0011902063024257538,0.0,0.0,0.0,0.20437542507367945,0.0013602357742008614,0.040637043754250736,0.0004534119247336205,0.0,0.0,0.0,0.0012468827930174563,0.0,0.0,0.0,0.0
0.0004813606460929561,5.3484516232550676e-05,0.0,0.00010696903246510135,0.03711825426539017,0.0005883296785580575,0.0040113387174413005,0.1888003423009039,0.002781194844092635,0.0,0.0,5.3484516232550676e-05,0.19238380488848478,0.0022463496817671283,0.050435898807295286,0.0005348451623255068,0.0,0.0,5.3484516232550676e-05,0.001497566454511419,0.0,0.0,0.0,0.0
0.0003319108582266477,0.0,0.0,0.0001422475106685633,0.03940256045519203,0.0010431484115694643,0.004883831199620673,0.2540066382171645,0.005452821242294926,0.0,0.0,0.0001422475106685633,0.1844476055002371,0.002844950213371266,0.06211474632527264,0.0007586533902323376,4.74158368895211e-05,0.0,4.74158368895211e-05,0.0016595542911332385,0.0,0.0,0.0,0.0
0.00020616006267265905,0.0,0.0,0.00012369603760359544,0.03896425184513256,0.0017317445264503361,0.005813713767368985,0.3290314600255638,0.009607058920545912,0.0,4.123201253453181e-05,0.00028862408774172265,0.16628870655176678,0.0032985610027625447,0.07784603966519606,0.0009483362882942316,0.00012369603760359544,0.0,4.123201253453181e-05,0.0016080484888467406,0.0,0.0,0.0,0.0
0.00014323056540265693,0.0,0.0,7.161528270132846e-05,0.037383177570093455,0.002649765459949153,0.006696028932574211,0.4091381100726895,0.016149246249149568,0.0,0.0001074229240519927,0.00046549933755863504,0.14097468399756508,0.003580764135066423,0.09542736419952018,0.0010384215991692627,0.0002148458481039854,3.580764135066423e-05,3.580764135066423e-05,0.0014323056540265693,0.0,0.0,0.0,0.0
9.379983116030391e-05,0.0,0.0,3.1266610386767973e-05,0.035675202451302256,0.0038457930775724603,0.007316386830503705,0.4851327267610918,0.0255760872963762,0.0,0.0002188662727073758,0.0006253322077353594,0.11393552824938248,0.0036581934152518526,0.10815120532783042,0.0012193978050839508,0.00037519932464121565,9.379983116030391e-05,0.00015633305193383986,0.0013757308570177906,0.0,0.0,0.0,0.0
5.5364854390432956e-05,0.0,2.7682427195216478e-05,2.7682427195216478e-05,0.03247148709998893,0.0048444247591628836,0.007834126896246263,0.5481397408924814,0.03640239176170967,0.0,0.0005536485439043296,0.0009412025246373602,0.08944192226774443,0.003598715535378142,0.11169859373269848,0.0014948510685416896,0.000581330971099546,0.00019377699036651533,0.00038755398073303066,0.0013841213597608239,0.0,0.0,0.0,0.0
2.5932264924018465e-05,0.0,7.779679477205539e-05,5.186452984803693e-05,0.028058710647787977,0.005238317514651729,0.008168663451065816,0.5921114050101136,0.047170789896789585,0.0,0.0012966132462009232,0.0013225455111249417,0.07045796379855816,0.003526788029666511,0.1115087391732794,0.001789326279757274,0.0008557647424926093,0.00046678076863233234,0.0007520356827965354,0.0013744100409729787,0.0,0.0,0.0,0.0
2.6427759718808638e-05,0.0,0.00010571103887523455,2.6427759718808638e-05,0.023758555987208965,0.005338407463199344,0.008219033272549485,0.6210259256322842,0.05800893258278496,0.0,0.002616348212162055,0.001532810063690901,0.05597399508443669,0.003435608763445123,0.11065302994265176,0.002114220777504691,0.0014006712650968577,0.0009249715901583022,0.0016385211025661355,0.0013213879859404318,0.0,0.0,0.0,0.0
0.0,2.832941443100371e-05,0.00011331765772401485,2.832941443100371e-05,0.019773931272840592,0.005552565228476728,0.008158871356129069,0.6430210487549223,0.06966203008583813,0.0,0.004136094506926541,0.001473129550412193,0.044222215926796794,0.0033428709028584377,0.10566871582764384,0.002436329641066319,0.0022946825689113006,0.0016997648658602226,0.0034845179750134566,0.0013314824782571745,0.0,0.0,0.0,0.0
0.0,6.17684301553476e-05,6.17684301553476e-05,0.0,0.016523055066555485,0.005898885079835696,0.008246085425738904,0.6585132338861608,0.08104018036381605,6.17684301553476e-05,0.005435621853670589,0.0011736001729516043,0.034899163037771394,0.003057537292689706,0.09719262484943945,0.002625158281602273,0.0035208005188548134,0.0027795793569906422,0.006053306155224065,0.0014515581086506687,0.0,0.0,0.0,0.0
0.0,7.115411982353779e-05,3.5577059911768894e-05,0.0,0.014301978084531094,0.006154831364736018,0.008075992599971538,0.664401593852284,0.08993880745695176,0.00014230823964707557,0.006581756083677245,0.0008182723779706845,0.027821260851003272,0.00256154831364736,0.0900099615767753,0.0027750106731179733,0.004874057207912338,0.004304824249324036,0.009534652056354063,0.0015653906361178312,0.0,0.0,0.0,0.0
0.0,8.860142648296638e-05,4.430071324148319e-05,0.0,0.01249280113409826,0.00624640056704913,0.007531121251052142,0.6587073051876136,0.09781597483719488,0.0003544057059318655,0.007752624817259558,0.0005316085588977983,0.021663048775085278,0.0019935320958667435,0.08527887298985513,0.00305674921366234,0.0065565055597395115,0.006600806272980995,0.01612545961989988,0.0015062242502104283,0.0,0.0,0.0,0.0
0.0,5.803830528148578e-05,5.803830528148578e-05,0.0,0.010388856645385955,0.006035983749274521,0.006964596633778294,0.6395821242019734,0.10597794544399304,0.00110272780034823,0.010156703424260012,0.0002901915264074289,0.01607661056297156,0.0015670342426001161,0.07980266976204295,0.003424260011607661,0.009402205455600696,0.010272780034822983,0.03064422518862449,0.0013929193267556588,0.0,0.0,0.0,0.0
0.0,0.0,7.642922653622745e-05,0.0,0.008177927239376338,0.005655762763680831,0.005732191990217059,0.5988994191378784,0.11288596759400794,0.003362885967594008,0.01620299602568022,0.0001528584530724549,0.011693671660042801,0.0012992968511158667,0.07054417609293794,0.003515744420666463,0.014445123815346989,0.01773158055640477,0.06228981962702537,0.0013757260776520942,0.0,0.0,0.0,0.0
