20A.EU1,20A.EU2,20A.S.126A,20A.S.210T,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21C.Epsilon,21D.Eta,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2209737827715356,0.0,0.0,0.00749063670411985,0.0,0.0,0.0,0.0,0.018726591760299626,0.7153558052434457,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09138381201044386,0.0026109660574412533,0.0,0.010443864229765013,0.0,0.0,0.0,0.0,0.02610966057441253,0.8433420365535248,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03908045977011494,0.006896551724137931,0.0,0.013793103448275862,0.0,0.0,0.0,0.0,0.034482758620689655,0.8896551724137931,0.0,0.0,0.0022988505747126436,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015594541910331383,0.003898635477582846,0.0,0.015594541910331383,0.0,0.0,0.0,0.0,0.04483430799220273,0.9103313840155945,0.0,0.0,0.003898635477582846,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00916030534351145,0.0015267175572519084,0.0,0.012213740458015267,0.0,0.0,0.0,0.0,0.04732824427480916,0.9221374045801527,0.0,0.0,0.007633587786259542,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007633587786259542,0.001272264631043257,0.0,0.010178117048346057,0.0,0.0,0.0,0.0,0.04580152671755725,0.9312977099236641,0.0,0.0,0.011450381679389313,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008557457212713936,0.0012224938875305623,0.0,0.008557457212713936,0.0,0.0,0.0,0.0,0.042787286063569685,0.9352078239608802,0.0,0.0,0.01589242053789731,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005594405594405594,0.0013986013986013986,0.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.033566433566433566,0.9482517482517483,0.0013986013986013986,0.0,0.019580419580419582,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.005154639175257732,0.0,0.0,0.0,0.0,0.024054982817869417,0.9621993127147767,0.0,0.0,0.020618556701030927,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001996007984031936,0.0,0.0,0.0,0.0,0.021956087824351298,0.9700598802395209,0.0,0.0,0.015968063872255488,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021551724137931034,0.0021551724137931034,0.0,0.0,0.0,0.0,0.021551724137931036,0.9719827586206896,0.0,0.0,0.010775862068965518,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,0.0045871559633027525,0.0,0.0,0.0,0.0,0.01834862385321101,0.9747706422018348,0.0,0.0,0.006880733944954129,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049382716049382715,0.0,0.0,0.0,0.0,0.014814814814814815,0.9777777777777777,0.0,0.0,0.0049382716049382715,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024390243902439024,0.0,0.0,0.0,0.0,0.014634146341463415,0.9780487804878049,0.0,0.0,0.004878048780487805,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002369668246445498,0.0,0.0,0.0,0.0,0.023696682464454975,0.9715639810426541,0.0,0.0,0.004739336492890996,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03591160220994475,0.9613259668508287,0.0,0.0,0.0055248618784530384,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038135593220338986,0.961864406779661,0.0,0.0,0.00423728813559322,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.9642857142857143,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
