20A.EU1,20A.EU2,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21C.Epsilon,21D.Eta,21F.Iota,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.0,0.0,0.0,0.0,0.0,0.021806853582554516,0.003115264797507788,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.021806853582554516,0.9096573208722741,0.006230529595015576,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.019696969696969695,0.0015151515151515152,0.0015151515151515152,0.021212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.024242424242424242,0.9075757575757576,0.012121212121212121,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.02402022756005057,0.0025284450063211127,0.0,0.02402022756005057,0.0,0.0,0.0,0.0,0.0,0.0,0.02781289506953224,0.8912768647281921,0.017699115044247787,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.001893939393939394,0.0,0.02462121212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.03977272727272727,0.8768939393939394,0.017045454545454544,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.012422360248447204,0.0,0.0,0.018633540372670808,0.0,0.0,0.0,0.0,0.0,0.0,0.07763975155279502,0.8695652173913043,0.009316770186335404,0.0,0.003105590062111801,0.0
0.0,0.0,0.0,0.0,0.0,0.0024271844660194173,0.0,0.0024271844660194173,0.012135922330097087,0.0,0.0,0.0,0.0,0.0,0.0,0.11165048543689321,0.8640776699029126,0.0,0.0,0.009708737864077669,0.0
0.0,0.0,0.0,0.0,0.0,0.0015408320493066256,0.0,0.0030816640986132513,0.012326656394453005,0.0,0.0,0.0,0.0,0.0,0.0,0.1140215716486903,0.864406779661017,0.0,0.0,0.01386748844375963,0.0
0.0,0.0,0.0,0.0,0.0,0.002366863905325444,0.0,0.002366863905325444,0.014201183431952662,0.0,0.0,0.0,0.0,0.0,0.0,0.10887573964497041,0.8686390532544379,0.001183431952662722,0.0,0.011834319526627219,0.002366863905325444
0.0,0.0,0.0,0.0,0.0,0.0012254901960784314,0.0,0.0012254901960784314,0.015931372549019607,0.0,0.0,0.0,0.0,0.0,0.0,0.09558823529411764,0.8811274509803921,0.0012254901960784314,0.0,0.00857843137254902,0.0024509803921568627
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01932367149758454,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.9017713365539453,0.001610305958132045,0.0,0.008051529790660225,0.00322061191626409
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01680672268907563,0.0,0.0,0.0,0.0,0.0,0.0,0.04831932773109244,0.930672268907563,0.0021008403361344537,0.0,0.0063025210084033615,0.0021008403361344537
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.02927927927927928,0.9572072072072072,0.006756756756756757,0.0,0.0045045045045045045,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004338394793926247,0.0,0.0,0.0,0.0,0.0,0.0,0.01735357917570499,0.9739696312364425,0.010845986984815618,0.0,0.0021691973969631237,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004728132387706856,0.0,0.0,0.0,0.0,0.0,0.0,0.009456264775413711,0.9810874704491725,0.01182033096926714,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028735632183908046,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.9827586206896551,0.008620689655172414,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016339869281045753,0.9803921568627451,0.006535947712418301,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020689655172413793,0.9724137931034482,0.006896551724137931,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
