20A.EU1,20A.EU2,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta,21B.Kappa,21D.Eta,21I.Delta,21J.Delta,DanishCluster,Delta.145H
0.05301645338208409,0.0,0.010968921389396709,0.0018281535648994515,0.9104204753199269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03888888888888889,0.0,0.012962962962962963,0.001851851851851852,0.9296296296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03676470588235294,0.0,0.0196078431372549,0.0024509803921568627,0.9215686274509803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033210332103321034,0.0,0.033210332103321034,0.007380073800738007,0.8966789667896679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.06,0.012,0.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009771986970684038,0.0,0.08794788273615635,0.009771986970684038,0.8664495114006515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005063291139240506,0.0,0.1240506329113924,0.005063291139240506,0.8405063291139241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0037735849056603774,0.0,0.1509433962264151,0.0018867924528301887,0.8169811320754717,0.0,0.0037735849056603774,0.0,0.0,0.0,0.0,0.0,0.0
0.0016474464579901153,0.0,0.1515650741350906,0.0032948929159802307,0.8187808896210873,0.0,0.004942339373970346,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.16420361247947454,0.003284072249589491,0.812807881773399,0.0,0.003284072249589491,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2161654135338346,0.0037593984962406013,0.7650375939849624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2578947368421053,0.002631578947368421,0.7263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.273972602739726,0.0,0.7031963470319634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3983739837398374,0.0,0.5528455284552846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5222222222222223,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0
0.0,0.0,0.49230769230769234,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.0
0.0,0.0,0.28888888888888886,0.022222222222222223,0.4,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0
0.0,0.0,0.06172839506172839,0.037037037037037035,0.35802469135802467,0.0,0.012345679012345678,0.0,0.0,0.30864197530864196,0.18518518518518517,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.018518518518518517,0.012345679012345678,0.1728395061728395,0.0,0.006172839506172839,0.0,0.0,0.42592592592592593,0.345679012345679,0.0,0.0
0.0,0.0,0.010309278350515464,0.0,0.061855670103092786,0.0,0.005154639175257732,0.0,0.0,0.4639175257731959,0.4484536082474227,0.0,0.0
0.0,0.0,0.0058823529411764705,0.0,0.047058823529411764,0.0,0.0058823529411764705,0.0,0.0,0.4294117647058823,0.5,0.0,0.0
0.0,0.0,0.007936507936507936,0.0,0.03968253968253968,0.0,0.0,0.0,0.0,0.35714285714285715,0.5793650793650794,0.0,0.0
0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.30303030303030304,0.6363636363636364,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2641509433962264,0.7169811320754716,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26146788990825687,0.7293577981651376,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.003787878787878788,0.0,0.0,0.25,0.7386363636363636,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.2345132743362832,0.7566371681415929,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.22093023255813954,0.7674418604651163,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205607476635514,0.7850467289719626,0.0,0.0
